Version,BF,Testcase,V,TotalTime_ms,ComputeTime_ms,GOPS,gld_GBs,gst_GBs,shld_GBs,shst_GBs
hw3-2_bf8,8,c21.1,5000,330.734226,330.734226,755.89,69.85,45.19,2541.71,2541.71
hw3-2_bf16,16,c21.1,5000,69.172693,69.172693,3614.14,139.05,108.37,2506.83,2506.83
hw3-2_bf32,32,c21.1,5000,35.785397,35.785397,6986.09,144.46,105.29,4882.02,4882.02
hw3-2_bf64,64,c21.1,5000,37.177403,37.177403,6724.51,89.22,51.46,5821.23,5821.23
